1,9,1111,0,0,0,0,0,unknown
2,2,168,0,0,0,0,0,unknown
3,2,168,0,0,0,0,0,unknown
4,2,168,0,0,0,0,0,unknown
4294967294,6,508,0,0,0,0,0,unknown
1,35,5215,0,8,660,0,1,5e:37:1f:df:7c:ae
2,5,418,0,31,4514,0,1,00:00:00:00:00:03
3,5,418,0,31,4514,0,1,00:00:00:00:00:04
4,4,328,0,32,4604,0,1,00:00:00:00:00:05
4294967294,6,508,0,34,4764,0,1,00:00:00:00:00:05
1,41,6555,0,9,750,0,2,5e:37:1f:df:7c:ae
2,5,418,0,38,5944,0,2,00:00:00:00:00:03
3,5,418,0,38,5944,0,2,00:00:00:00:00:04
4,5,418,0,38,5944,0,2,00:00:00:00:00:05
4294967294,6,508,0,41,6194,0,2,00:00:00:00:00:05
1,44,7208,0,9,750,0,3,5e:37:1f:df:7c:ae
2,5,418,0,41,6597,0,3,00:00:00:00:00:03
3,5,418,0,41,6597,0,3,00:00:00:00:00:04
4,5,418,0,41,6597,0,3,00:00:00:00:00:05
4294967294,6,508,0,44,6847,0,3,00:00:00:00:00:05
1,50,8343,0,10,820,0,4,5e:37:1f:df:7c:ae
2,5,418,0,48,7802,0,4,00:00:00:00:00:03
3,5,418,0,48,7802,0,4,00:00:00:00:00:04
4,5,418,0,48,7802,0,4,00:00:00:00:00:05
4294967294,7,578,0,50,7982,0,4,06:26:a3:42:9f:4a
1,56,9268,0,13,1030,0,5,5e:37:1f:df:7c:ae
2,6,488,0,56,8867,0,5,00:00:00:00:00:03
3,6,488,0,56,8867,0,5,00:00:00:00:00:04
4,6,488,0,56,8867,0,5,00:00:00:00:00:05
4294967294,7,578,0,59,9117,0,5,06:26:a3:42:9f:4a
1,56,9268,0,13,1030,0,6,5e:37:1f:df:7c:ae
2,6,488,0,56,8867,0,6,00:00:00:00:00:03
3,6,488,0,56,8867,0,6,00:00:00:00:00:04
4,6,488,0,56,8867,0,6,00:00:00:00:00:05
4294967294,7,578,0,59,9117,0,6,06:26:a3:42:9f:4a
1,57,9375,0,13,1030,0,7,5e:37:1f:df:7c:ae
2,6,488,0,57,8974,0,7,00:00:00:00:00:03
3,6,488,0,57,8974,0,7,00:00:00:00:00:04
4,6,488,0,57,8974,0,7,00:00:00:00:00:05
4294967294,7,578,0,60,9224,0,7,06:26:a3:42:9f:4a
1,60,9622,0,14,1100,0,8,5e:37:1f:df:7c:ae
2,6,488,0,61,9291,0,8,00:00:00:00:00:03
3,6,488,0,61,9291,0,8,00:00:00:00:00:04
4,6,488,0,61,9291,0,8,00:00:00:00:00:05
4294967294,8,648,0,63,9471,0,8,06:26:a3:42:9f:4a
1,65,10244,0,17,1310,0,9,5e:37:1f:df:7c:ae
2,7,558,0,68,10053,0,9,00:00:00:00:00:03
3,7,558,0,68,10053,0,9,00:00:00:00:00:04
4,7,558,0,68,10053,0,9,00:00:00:00:00:05
4294967294,8,648,0,71,10303,0,9,06:26:a3:42:9f:4a
1,66,10586,0,17,1310,0,10,5e:37:1f:df:7c:ae
2,7,558,0,69,10395,0,10,00:00:00:00:00:03
3,7,558,0,69,10395,0,10,00:00:00:00:00:04
4,7,558,0,69,10395,0,10,00:00:00:00:00:05
4294967294,8,648,0,72,10645,0,10,06:26:a3:42:9f:4a
1,66,10586,0,17,1310,0,11,5e:37:1f:df:7c:ae
2,7,558,0,69,10395,0,11,00:00:00:00:00:03
3,7,558,0,69,10395,0,11,00:00:00:00:00:04
4,7,558,0,69,10395,0,11,00:00:00:00:00:05
4294967294,8,648,0,72,10645,0,11,06:26:a3:42:9f:4a
1,66,10586,0,17,1310,0,12,5e:37:1f:df:7c:ae
2,7,558,0,69,10395,0,12,00:00:00:00:00:03
3,7,558,0,69,10395,0,12,00:00:00:00:00:04
4,7,558,0,69,10395,0,12,00:00:00:00:00:05
4294967294,8,648,0,72,10645,0,12,06:26:a3:42:9f:4a
1,66,10586,0,17,1310,0,13,5e:37:1f:df:7c:ae
2,7,558,0,69,10395,0,13,00:00:00:00:00:03
3,7,558,0,69,10395,0,13,00:00:00:00:00:04
4,7,558,0,69,10395,0,13,00:00:00:00:00:05
4294967294,8,648,0,72,10645,0,13,06:26:a3:42:9f:4a
1,67,10928,0,17,1310,0,14,5e:37:1f:df:7c:ae
2,7,558,0,70,10737,0,14,00:00:00:00:00:03
3,7,558,0,70,10737,0,14,00:00:00:00:00:04
4,7,558,0,70,10737,0,14,00:00:00:00:00:05
4294967294,8,648,0,73,10987,0,14,06:26:a3:42:9f:4a
1,68,11035,0,17,1310,0,15,5e:37:1f:df:7c:ae
2,7,558,0,71,10844,0,15,00:00:00:00:00:03
3,7,558,0,71,10844,0,15,00:00:00:00:00:04
4,7,558,0,71,10844,0,15,00:00:00:00:00:05
4294967294,8,648,0,74,11094,0,15,06:26:a3:42:9f:4a
1,69,11142,0,17,1310,0,16,5e:37:1f:df:7c:ae
2,7,558,0,72,10951,0,16,00:00:00:00:00:03
3,7,558,0,72,10951,0,16,00:00:00:00:00:04
4,7,558,0,72,10951,0,16,00:00:00:00:00:05
4294967294,8,648,0,75,11201,0,16,06:26:a3:42:9f:4a
1,69,11142,0,17,1310,0,17,5e:37:1f:df:7c:ae
2,7,558,0,72,10951,0,17,00:00:00:00:00:03
3,7,558,0,72,10951,0,17,00:00:00:00:00:04
4,7,558,0,72,10951,0,17,00:00:00:00:00:05
4294967294,8,648,0,75,11201,0,17,06:26:a3:42:9f:4a
1,70,11484,0,17,1310,0,18,5e:37:1f:df:7c:ae
2,7,558,0,73,11293,0,18,00:00:00:00:00:03
3,7,558,0,73,11293,0,18,00:00:00:00:00:04
4,7,558,0,73,11293,0,18,00:00:00:00:00:05
4294967294,8,648,0,76,11543,0,18,06:26:a3:42:9f:4a
1,70,11484,0,17,1310,0,19,5e:37:1f:df:7c:ae
2,7,558,0,73,11293,0,19,00:00:00:00:00:03
3,7,558,0,73,11293,0,19,00:00:00:00:00:04
4,7,558,0,73,11293,0,19,00:00:00:00:00:05
4294967294,8,648,0,76,11543,0,19,06:26:a3:42:9f:4a
1,70,11484,0,17,1310,0,20,5e:37:1f:df:7c:ae
2,7,558,0,73,11293,0,20,00:00:00:00:00:03
3,7,558,0,73,11293,0,20,00:00:00:00:00:04
4,7,558,0,73,11293,0,20,00:00:00:00:00:05
4294967294,8,648,0,76,11543,0,20,06:26:a3:42:9f:4a
1,70,11484,0,17,1310,0,21,5e:37:1f:df:7c:ae
2,7,558,0,73,11293,0,21,00:00:00:00:00:03
3,7,558,0,73,11293,0,21,00:00:00:00:00:04
4,7,558,0,73,11293,0,21,00:00:00:00:00:05
4294967294,8,648,0,76,11543,0,21,06:26:a3:42:9f:4a
1,70,11484,0,17,1310,0,22,5e:37:1f:df:7c:ae
2,7,558,0,73,11293,0,22,00:00:00:00:00:03
3,7,558,0,73,11293,0,22,00:00:00:00:00:04
4,7,558,0,73,11293,0,22,00:00:00:00:00:05
4294967294,8,648,0,76,11543,0,22,06:26:a3:42:9f:4a
1,70,11484,0,17,1310,0,23,5e:37:1f:df:7c:ae
2,7,558,0,73,11293,0,23,00:00:00:00:00:03
3,7,558,0,73,11293,0,23,00:00:00:00:00:04
4,7,558,0,73,11293,0,23,00:00:00:00:00:05
4294967294,8,648,0,76,11543,0,23,06:26:a3:42:9f:4a
1,71,11826,0,17,1310,0,24,5e:37:1f:df:7c:ae
2,7,558,0,74,11635,0,24,00:00:00:00:00:03
3,7,558,0,74,11635,0,24,00:00:00:00:00:04
4,7,558,0,74,11635,0,24,00:00:00:00:00:05
4294967294,8,648,0,77,11885,0,24,06:26:a3:42:9f:4a
1,71,11826,0,17,1310,0,25,5e:37:1f:df:7c:ae
2,7,558,0,74,11635,0,25,00:00:00:00:00:03
3,7,558,0,74,11635,0,25,00:00:00:00:00:04
4,7,558,0,74,11635,0,25,00:00:00:00:00:05
4294967294,8,648,0,77,11885,0,25,06:26:a3:42:9f:4a
1,71,11826,0,17,1310,0,26,5e:37:1f:df:7c:ae
2,7,558,0,74,11635,0,26,00:00:00:00:00:03
3,7,558,0,74,11635,0,26,00:00:00:00:00:04
4,7,558,0,74,11635,0,26,00:00:00:00:00:05
4294967294,8,648,0,77,11885,0,26,06:26:a3:42:9f:4a
1,71,11826,0,17,1310,0,27,5e:37:1f:df:7c:ae
2,7,558,0,74,11635,0,27,00:00:00:00:00:03
3,7,558,0,74,11635,0,27,00:00:00:00:00:04
4,7,558,0,74,11635,0,27,00:00:00:00:00:05
4294967294,8,648,0,77,11885,0,27,06:26:a3:42:9f:4a
1,71,11826,0,17,1310,0,28,5e:37:1f:df:7c:ae
2,7,558,0,74,11635,0,28,00:00:00:00:00:03
3,7,558,0,74,11635,0,28,00:00:00:00:00:04
4,7,558,0,74,11635,0,28,00:00:00:00:00:05
4294967294,8,648,0,77,11885,0,28,06:26:a3:42:9f:4a
1,71,11826,0,17,1310,0,29,5e:37:1f:df:7c:ae
2,7,558,0,74,11635,0,29,00:00:00:00:00:03
3,7,558,0,74,11635,0,29,00:00:00:00:00:04
4,7,558,0,74,11635,0,29,00:00:00:00:00:05
4294967294,8,648,0,77,11885,0,29,06:26:a3:42:9f:4a
1,71,11826,0,17,1310,0,30,5e:37:1f:df:7c:ae
2,7,558,0,74,11635,0,30,00:00:00:00:00:03
3,7,558,0,74,11635,0,30,00:00:00:00:00:04
4,7,558,0,74,11635,0,30,00:00:00:00:00:05
4294967294,8,648,0,77,11885,0,30,06:26:a3:42:9f:4a
1,72,11933,0,17,1310,0,31,5e:37:1f:df:7c:ae
2,7,558,0,75,11742,0,31,00:00:00:00:00:03
3,7,558,0,75,11742,0,31,00:00:00:00:00:04
4,7,558,0,75,11742,0,31,00:00:00:00:00:05
4294967294,8,648,0,78,11992,0,31,06:26:a3:42:9f:4a
1,73,12040,0,17,1310,0,32,5e:37:1f:df:7c:ae
2,7,558,0,76,11849,0,32,00:00:00:00:00:03
3,7,558,0,76,11849,0,32,00:00:00:00:00:04
4,7,558,0,76,11849,0,32,00:00:00:00:00:05
4294967294,8,648,0,79,12099,0,32,06:26:a3:42:9f:4a
1,73,12040,0,17,1310,0,33,5e:37:1f:df:7c:ae
2,7,558,0,76,11849,0,33,00:00:00:00:00:03
3,7,558,0,76,11849,0,33,00:00:00:00:00:04
4,7,558,0,76,11849,0,33,00:00:00:00:00:05
4294967294,8,648,0,79,12099,0,33,06:26:a3:42:9f:4a
