1,2,168,0,0,0,0,0,unknown
2,2,168,0,0,0,0,0,unknown
3,2,168,0,0,0,0,0,unknown
4,2,168,0,0,0,0,0,unknown
4294967294,3,258,0,0,0,0,0,unknown
1,32,4378,0,10,820,0,1,ca:09:17:d2:25:6b
2,4,328,0,38,4870,0,1,00:00:00:00:00:03
3,4,328,0,38,4870,0,1,00:00:00:00:00:04
4,5,418,0,37,4780,0,1,00:00:00:00:00:05
4294967294,6,508,0,37,4780,0,1,1e:81:29:28:9f:44
1,40,5728,0,12,1000,0,2,ca:09:17:d2:25:6b
2,5,418,0,47,6310,0,2,00:00:00:00:00:03
3,5,418,0,47,6310,0,2,00:00:00:00:00:04
4,5,418,0,47,6310,0,2,00:00:00:00:00:05
4294967294,6,508,0,47,6310,0,2,1e:81:29:28:9f:44
1,44,7018,0,12,1000,0,3,ca:09:17:d2:25:6b
2,5,418,0,51,7600,0,3,00:00:00:00:00:03
3,5,418,0,51,7600,0,3,00:00:00:00:00:04
4,5,418,0,51,7600,0,3,00:00:00:00:00:05
4294967294,6,508,0,51,7600,0,3,1e:81:29:28:9f:44
1,48,7718,0,12,1000,0,4,ca:09:17:d2:25:6b
2,5,418,0,55,8300,0,4,00:00:00:00:00:03
3,5,418,0,55,8300,0,4,00:00:00:00:00:04
4,5,418,0,55,8300,0,4,00:00:00:00:00:05
4294967294,6,508,0,55,8300,0,4,1e:81:29:28:9f:44
1,56,8744,0,16,1280,0,5,ca:09:17:d2:25:6b
2,6,488,0,66,9536,0,5,00:00:00:00:00:03
3,6,488,0,66,9536,0,5,00:00:00:00:00:04
4,6,488,0,66,9536,0,5,00:00:00:00:00:05
4294967294,7,578,0,66,9536,0,5,1e:81:29:28:9f:44
1,56,8744,0,16,1280,0,6,ca:09:17:d2:25:6b
2,6,488,0,66,9536,0,6,00:00:00:00:00:03
3,6,488,0,66,9536,0,6,00:00:00:00:00:04
4,6,488,0,66,9536,0,6,00:00:00:00:00:05
4294967294,7,578,0,66,9536,0,6,1e:81:29:28:9f:44
1,56,8744,0,16,1280,0,7,ca:09:17:d2:25:6b
2,6,488,0,66,9536,0,7,00:00:00:00:00:03
3,6,488,0,66,9536,0,7,00:00:00:00:00:04
4,6,488,0,66,9536,0,7,00:00:00:00:00:05
4294967294,7,578,0,66,9536,0,7,1e:81:29:28:9f:44
1,59,9300,0,16,1280,0,8,ca:09:17:d2:25:6b
2,6,488,0,69,10092,0,8,00:00:00:00:00:03
3,6,488,0,69,10092,0,8,00:00:00:00:00:04
4,6,488,0,69,10092,0,8,00:00:00:00:00:05
4294967294,7,578,0,69,10092,0,8,1e:81:29:28:9f:44
1,66,10062,0,20,1560,0,9,ca:09:17:d2:25:6b
2,7,558,0,79,11064,0,9,00:00:00:00:00:03
3,7,558,0,79,11064,0,9,00:00:00:00:00:04
4,7,558,0,79,11064,0,9,00:00:00:00:00:05
4294967294,8,648,0,79,11064,0,9,1e:81:29:28:9f:44
1,66,10062,0,20,1560,0,10,ca:09:17:d2:25:6b
2,7,558,0,79,11064,0,10,00:00:00:00:00:03
3,7,558,0,79,11064,0,10,00:00:00:00:00:04
4,7,558,0,79,11064,0,10,00:00:00:00:00:05
4294967294,8,648,0,79,11064,0,10,1e:81:29:28:9f:44
1,66,10062,0,20,1560,0,11,ca:09:17:d2:25:6b
2,7,558,0,79,11064,0,11,00:00:00:00:00:03
3,7,558,0,79,11064,0,11,00:00:00:00:00:04
4,7,558,0,79,11064,0,11,00:00:00:00:00:05
4294967294,8,648,0,79,11064,0,11,1e:81:29:28:9f:44
1,66,10062,0,20,1560,0,12,ca:09:17:d2:25:6b
2,7,558,0,79,11064,0,12,00:00:00:00:00:03
3,7,558,0,79,11064,0,12,00:00:00:00:00:04
4,7,558,0,79,11064,0,12,00:00:00:00:00:05
4294967294,8,648,0,79,11064,0,12,1e:81:29:28:9f:44
1,66,10062,0,20,1560,0,13,ca:09:17:d2:25:6b
2,7,558,0,79,11064,0,13,00:00:00:00:00:03
3,7,558,0,79,11064,0,13,00:00:00:00:00:04
4,7,558,0,79,11064,0,13,00:00:00:00:00:05
4294967294,8,648,0,79,11064,0,13,1e:81:29:28:9f:44
1,66,10062,0,20,1560,0,14,ca:09:17:d2:25:6b
2,7,558,0,79,11064,0,14,00:00:00:00:00:03
3,7,558,0,79,11064,0,14,00:00:00:00:00:04
4,7,558,0,79,11064,0,14,00:00:00:00:00:05
4294967294,8,648,0,79,11064,0,14,1e:81:29:28:9f:44
1,66,10062,0,20,1560,0,15,ca:09:17:d2:25:6b
2,7,558,0,79,11064,0,15,00:00:00:00:00:03
3,7,558,0,79,11064,0,15,00:00:00:00:00:04
4,7,558,0,79,11064,0,15,00:00:00:00:00:05
4294967294,8,648,0,79,11064,0,15,1e:81:29:28:9f:44
1,68,10276,0,20,1560,0,16,ca:09:17:d2:25:6b
2,7,558,0,81,11278,0,16,00:00:00:00:00:03
3,7,558,0,81,11278,0,16,00:00:00:00:00:04
